Producto,Categoría del Producto,Precio,Costo de envío,Fecha de Compra,Vendedor,Lugar de Compra,Calificación,Método de pago,Cantidad de cuotas,lat,lon,Sucursal,Ingreso
Mesa de noche,Muebles,259000.0,12000.0,2023-02-22,Juan Fernandez,Bogotá,5,Tarjeta de crédito,4,4.60971,-74.08175,Tienda 2,247000.0
Muñeca bebé,Juguetes,59500.0,3700.0,2021-09-03,Felipe Santos,Santa Marta,5,Tarjeta de crédito,2,11.24079,-74.19904,Tienda 2,55800.0
Carrito de control remoto,Juguetes,79600.0,4600.0,2020-05-06,Camila Rivera,Medellín,5,Tarjeta de crédito,4,6.25184,-75.56359,Tienda 2,75000.0
Tablet ABXY,Electrónicos,1063700.0,54800.0,2022-04-05,Felipe Santos,Medellín,5,Tarjeta de crédito,5,6.25184,-75.56359,Tienda 2,1008900.0
Smart TV,Electrónicos,1850700.0,98900.0,2021-04-13,Ángel Rodriguez,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 2,1751800.0
Mesa de comedor,Muebles,204400.0,11100.0,2020-08-07,Juan Fernandez,Pereira,5,Tarjeta de crédito,1,4.81333,-75.69611,Tienda 2,193300.0
Lavadora de ropa,Electrodomésticos,1242400.0,64300.0,2021-12-18,Izabela de León,Cúcuta,5,Tarjeta de crédito,1,7.89391,-72.50782,Tienda 2,1178100.0
Auriculares con micrófono,Electrónicos,101000.0,6400.0,2023-02-20,Rafael Acosta,Leticia,1,Tarjeta de crédito,10,-4.21528,-69.94056,Tienda 2,94600.0
Olla de presión,Artículos para el hogar,75000.0,4500.0,2021-03-19,Juan Fernandez,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 2,70500.0
Ajedrez de madera,Juguetes,19700.0,1400.0,2021-12-09,Beatriz Morales,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 2,18300.0
Cubertería,Artículos para el hogar,51400.0,3100.0,2022-06-04,Maria Alfonso,Cali,3,Nequi,1,3.43722,-76.5225,Tienda 2,48300.0
Ajedrez de madera,Juguetes,29900.0,2000.0,2023-03-23,Pedro Gomez,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 2,27900.0
Cama king,Muebles,451200.0,22200.0,2020-08-20,Lucas Olivera,Medellín,4,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 2,429000.0
Iniciando en programación,Libros,48700.0,2800.0,2022-03-10,Camila Rivera,Bogotá,1,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 2,45900.0
Batería,Instrumentos musicales,766500.0,41200.0,2022-09-23,Santiago Silva,Medellín,2,Nequi,1,6.25184,-75.56359,Tienda 2,725300.0
Lavadora de ropa,Electrodomésticos,1255200.0,71600.0,2021-08-01,Juan Fernandez,Bogotá,1,Nequi,1,4.60971,-74.08175,Tienda 2,1183600.0
Batería,Instrumentos musicales,922700.0,51500.0,2022-04-23,Pedro Gomez,Pereira,5,Tarjeta de crédito,1,4.81333,-75.69611,Tienda 2,871200.0
Modelado predictivo,Libros,62800.0,9200.0,2020-08-13,Juliana Costa,Cali,5,Nequi,1,3.43722,-76.5225,Tienda 2,53600.0
Muñeca bebé,Juguetes,59400.0,1400.0,2023-01-10,Blanca Ramirez,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 2,58000.0
Muñeca bebé,Juguetes,48900.0,800.0,2021-03-11,Ángel Rodriguez,Barranquilla,4,Tarjeta de crédito,1,10.96854,-74.78132,Tienda 2,48100.0
Mochila,Deportes y diversión,108900.0,4000.0,2023-01-21,Mariana Herrera,Bogotá,5,Tarjeta de crédito,20,4.60971,-74.08175,Tienda 2,104900.0
Muñeca bebé,Juguetes,45700.0,0.0,2021-10-22,Ángel Rodriguez,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 2,45700.0
Mesa de noche,Muebles,286400.0,15600.0,2021-09-07,Camila Rivera,Pasto,5,Nequi,1,1.21361,-77.28111,Tienda 2,270800.0
Silla de oficina,Muebles,433300.0,21300.0,2020-03-01,Felipe Santos,Barranquilla,5,Tarjeta de crédito,1,10.96854,-74.78132,Tienda 2,412000.0
Set de vasos,Artículos para el hogar,39000.0,0.0,2022-12-28,Ángel Rodriguez,Medellín,4,Tarjeta de crédito,10,6.25184,-75.56359,Tienda 2,39000.0
Guitarra acústica,Instrumentos musicales,197900.0,8700.0,2022-11-16,Juliana Costa,Bogotá,4,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 2,189200.0
Smartwatch,Electrónicos,169000.0,7200.0,2020-06-26,Rafael Acosta,Medellín,5,Tarjeta de crédito,6,6.25184,-75.56359,Tienda 2,161800.0
Estufa,Electrodomésticos,592600.0,32200.0,2023-03-26,Juan Fernandez,Barranquilla,1,Tarjeta de crédito,3,10.96854,-74.78132,Tienda 2,560400.0
Estufa,Electrodomésticos,787700.0,40100.0,2020-02-15,Juan Fernandez,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 2,747600.0
Mesa de comedor,Muebles,250500.0,19400.0,2022-09-26,Ángel Rodriguez,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 2,231100.0
Mesa de noche,Muebles,268200.0,14900.0,2020-04-25,Ángel Rodriguez,Cali,4,Nequi,1,3.43722,-76.5225,Tienda 2,253300.0
Batería,Instrumentos musicales,448900.0,25100.0,2020-06-27,Ángel Rodriguez,Santa Marta,1,Tarjeta de crédito,2,11.24079,-74.19904,Tienda 2,423800.0
Cama king,Muebles,488000.0,24200.0,2023-03-21,Izabela de León,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 2,463800.0
Microondas,Electrodomésticos,311100.0,14800.0,2020-02-28,Juan Fernandez,Medellín,2,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 2,296300.0
Balón de voleibol,Deportes y diversión,52900.0,3900.0,2020-10-13,Pedro Gomez,Cúcuta,4,Tarjeta de crédito,8,7.89391,-72.50782,Tienda 2,49000.0
Mochila,Deportes y diversión,101500.0,3600.0,2021-11-25,Mariana Herrera,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 2,97900.0
Iphone 15,Electrónicos,1456200.0,84400.0,2023-01-10,Ángel Rodriguez,Bogotá,1,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 2,1371800.0
Secadora de ropa,Electrodomésticos,1397000.0,74800.0,2021-10-07,Blanca Ramirez,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 2,1322200.0
Mochila,Deportes y diversión,107900.0,3900.0,2022-11-28,Felipe Santos,Medellín,5,Tarjeta de crédito,7,6.25184,-75.56359,Tienda 2,104000.0
Set de ollas,Artículos para el hogar,140300.0,8100.0,2022-12-04,Ángel Rodriguez,Barranquilla,5,Tarjeta de crédito,2,10.96854,-74.78132,Tienda 2,132200.0
Lavadora de ropa,Electrodomésticos,1220100.0,65200.0,2020-02-09,Santiago Silva,Bogotá,4,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 2,1154900.0
Microondas,Electrodomésticos,797900.0,42900.0,2022-09-27,Blanca Ramirez,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 2,755000.0
Iphone 15,Electrónicos,2224300.0,116600.0,2022-04-21,Juan Fernandez,Medellín,5,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 2,2107700.0
Bicicleta,Deportes y diversión,551000.0,27500.0,2022-09-03,Maria Alfonso,Medellín,4,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 2,523500.0
Secadora de ropa,Electrodomésticos,1285100.0,66600.0,2021-12-17,Camila Rivera,Santa Marta,4,Tarjeta de crédito,4,11.24079,-74.19904,Tienda 3,1218500.0
Mesa de noche,Muebles,290100.0,13600.0,2021-02-10,Maria Alfonso,Cali,3,Tarjeta de crédito,1,3.43722,-76.5225,Tienda 3,276500.0
Guitarra acústica,Instrumentos musicales,303500.0,17400.0,2023-01-22,Lucas Olivera,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 3,286100.0
Balón de voleibol,Deportes y diversión,58800.0,3300.0,2022-03-22,Pedro Gomez,Barranquilla,4,Tarjeta de crédito,6,10.96854,-74.78132,Tienda 3,55500.0
Armario,Muebles,521100.0,25900.0,2022-01-12,Blanca Ramirez,Bogotá,1,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,495200.0
Impresora,Electrónicos,230700.0,10500.0,2022-11-20,Mariana Herrera,Medellín,5,Tarjeta de crédito,5,6.25184,-75.56359,Tienda 3,220200.0
Carrito de control remoto,Juguetes,55700.0,3200.0,2020-07-07,Ángel Rodriguez,Bogotá,2,Nequi,1,4.60971,-74.08175,Tienda 3,52500.0
Silla de oficina,Muebles,464600.0,25100.0,2022-05-01,Santiago Silva,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 3,439500.0
Pandereta,Instrumentos musicales,43500.0,2700.0,2021-10-27,Maria Alfonso,Medellín,5,Tarjeta de crédito,3,6.25184,-75.56359,Tienda 3,40800.0
Cubertería,Artículos para el hogar,33500.0,0.0,2022-05-03,Felipe Santos,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 3,33500.0
Muñeca bebé,Juguetes,45500.0,0.0,2021-08-16,Beatriz Morales,Neiva,5,Nequi,1,2.9273,-75.28189,Tienda 3,45500.0
Silla de oficina,Muebles,435200.0,21400.0,2022-09-25,Felipe Santos,Cúcuta,2,Tarjeta de crédito,1,7.89391,-72.50782,Tienda 3,413800.0
Impresora,Electrónicos,232500.0,13600.0,2023-01-16,Lucas Olivera,Medellín,5,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 3,218900.0
Auriculares,Electrónicos,68700.0,4900.0,2022-01-31,Juan Fernandez,Cali,4,Tarjeta de crédito,1,3.43722,-76.5225,Tienda 3,63800.0
Set de vasos,Artículos para el hogar,39100.0,2500.0,2021-11-08,Juan Fernandez,Santa Marta,5,Nequi,1,11.24079,-74.19904,Tienda 3,36600.0
TV LED UHD 4K,Electrónicos,1540300.0,80200.0,2021-02-04,Rafael Acosta,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,1460100.0
Olla de presión,Artículos para el hogar,83500.0,2600.0,2022-02-17,Juan Fernandez,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 3,80900.0
Olla de presión,Artículos para el hogar,69300.0,4100.0,2022-08-17,Ángel Rodriguez,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,65200.0
Muñeca bebé,Juguetes,38400.0,2400.0,2021-04-01,Rafael Acosta,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,36000.0
Mesa de noche,Muebles,251500.0,11600.0,2022-10-01,Beatriz Morales,Bucaramanga,4,Tarjeta de crédito,3,7.12539,-73.1198,Tienda 3,239900.0
Lavadora de ropa,Electrodomésticos,1502400.0,80700.0,2022-09-19,Felipe Santos,Cartagena,1,Tarjeta de crédito,8,10.39972,-75.51444,Tienda 3,1421700.0
Set de ollas,Artículos para el hogar,128100.0,7000.0,2022-08-29,Izabela de León,Pereira,5,Tarjeta de crédito,4,4.81333,-75.69611,Tienda 3,121100.0
Dinosaurio Rex,Juguetes,16700.0,0.0,2020-01-21,Juliana Costa,Medellín,4,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 3,16700.0
Modelado predictivo,Libros,76600.0,4700.0,2022-06-24,Beatriz Morales,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,71900.0
Olla de presión,Artículos para el hogar,65600.0,3700.0,2020-08-21,Izabela de León,Medellín,1,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 3,61900.0
Mesa de comedor,Muebles,297100.0,18200.0,2021-11-05,Lucas Olivera,Riohacha,5,Tarjeta de crédito,3,11.54444,-72.90722,Tienda 3,278900.0
Dashboards con Power BI,Libros,33900.0,2200.0,2021-05-19,Pedro Gomez,Barranquilla,5,Tarjeta de crédito,1,10.96854,-74.78132,Tienda 3,31700.0
Kit de bancas,Muebles,336000.0,16100.0,2023-02-22,Lucas Olivera,Cartagena,4,Tarjeta de crédito,1,10.39972,-75.51444,Tienda 3,319900.0
Cuerda para saltar,Deportes y diversión,17100.0,1100.0,2020-08-21,Beatriz Morales,Bogotá,4,Tarjeta de crédito,10,4.60971,-74.08175,Tienda 3,16000.0
Iniciando en programación,Libros,65000.0,3900.0,2022-08-26,Camila Rivera,Bogotá,1,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 3,61100.0
Set de ollas,Artículos para el hogar,118300.0,6700.0,2021-04-10,Rafael Acosta,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 3,111600.0
Balón de baloncesto,Deportes y diversión,61300.0,3700.0,2020-11-24,Felipe Santos,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 3,57600.0
Estufa,Electrodomésticos,521700.0,26000.0,2022-09-07,Juan Fernandez,Medellín,5,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 3,495700.0
Carrito de control remoto,Juguetes,67400.0,4000.0,2022-08-30,Juan Fernandez,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,63400.0
Carrito de control remoto,Juguetes,80800.0,5400.0,2022-08-27,Mariana Herrera,Pereira,5,Tarjeta de crédito,2,4.81333,-75.69611,Tienda 3,75400.0
Estufa,Electrodomésticos,449100.0,24300.0,2022-11-19,Pedro Gomez,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,424800.0
Bicicleta,Deportes y diversión,316900.0,15100.0,2021-11-25,Felipe Santos,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 3,301800.0
Set de vasos,Artículos para el hogar,36500.0,0.0,2022-11-28,Blanca Ramirez,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,36500.0
Olla de presión,Artículos para el hogar,84000.0,2700.0,2021-01-15,Pedro Gomez,Bogotá,5,Cupón,1,4.60971,-74.08175,Tienda 3,81300.0
Auriculares,Electrónicos,130600.0,11600.0,2021-02-06,Juan Fernandez,Medellín,3,Tarjeta de crédito,3,6.25184,-75.56359,Tienda 3,119000.0
Iniciando en programación,Libros,61200.0,1400.0,2022-03-20,Mariana Herrera,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,59800.0
Lavavajillas,Electrodomésticos,1330200.0,69000.0,2022-04-02,Ángel Rodriguez,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,1261200.0
Smart TV,Electrónicos,1550800.0,82800.0,2022-04-29,Felipe Santos,Cúcuta,5,Tarjeta de crédito,2,7.89391,-72.50782,Tienda 3,1468000.0
Pandereta,Instrumentos musicales,65500.0,1700.0,2020-01-20,Rafael Acosta,Bogotá,5,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 3,63800.0
Mochila,Deportes y diversión,111000.0,6300.0,2022-12-24,Izabela de León,Bogotá,3,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 3,104700.0
Carrito de control remoto,Juguetes,87200.0,5000.0,2021-07-29,Ángel Rodriguez,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 3,82200.0
Tablet ABXY,Electrónicos,1092700.0,58700.0,2021-06-02,Camila Rivera,Medellín,1,Tarjeta de crédito,9,6.25184,-75.56359,Tienda 3,1034000.0
Mesa de centro,Muebles,196600.0,16300.0,2020-02-25,Beatriz Morales,Barranquilla,1,Tarjeta de crédito,8,10.96854,-74.78132,Tienda 3,180300.0
Smart TV,Electrónicos,1758100.0,93800.0,2021-03-21,Santiago Silva,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,1664300.0
Mochila,Deportes y diversión,90400.0,9600.0,2021-09-22,Izabela de León,Bogotá,1,Tarjeta de crédito,4,4.60971,-74.08175,Tienda 3,80800.0
Mesa de comedor,Muebles,260300.0,14300.0,2020-12-26,Maria Alfonso,Pereira,5,Tarjeta de crédito,1,4.81333,-75.69611,Tienda 3,246000.0
Estufa,Electrodomésticos,1024300.0,54800.0,2020-01-03,Juliana Costa,Bogotá,4,Nequi,1,4.60971,-74.08175,Tienda 3,969500.0
Cama box,Muebles,669800.0,36200.0,2021-12-16,Blanca Ramirez,Cúcuta,2,Tarjeta de crédito,1,7.89391,-72.50782,Tienda 3,633600.0
Ajedrez de madera,Juguetes,23000.0,1400.0,2022-06-16,Beatriz Morales,Barranquilla,5,Tarjeta de crédito,5,10.96854,-74.78132,Tienda 3,21600.0
Auriculares,Electrónicos,54400.0,1100.0,2022-12-05,Juan Fernandez,Bogotá,4,Tarjeta de crédito,6,4.60971,-74.08175,Tienda 3,53300.0
Carrito de control remoto,Juguetes,86300.0,2800.0,2020-05-15,Maria Alfonso,Bogotá,4,Nequi,1,4.60971,-74.08175,Tienda 3,83500.0
Cama box,Muebles,511500.0,27900.0,2022-07-26,Lucas Olivera,Medellín,5,Tarjeta de crédito,1,6.25184,-75.56359,Tienda 3,483600.0
Iphone 15,Electrónicos,1759200.0,94100.0,2020-04-11,Lucas Olivera,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 3,1665100.0
TV LED UHD 4K,Electrónicos,2873900.0,151200.0,2022-07-15,Juan Fernandez,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,2722700.0
Silla de oficina,Muebles,450200.0,22200.0,2022-08-22,Mariana Herrera,Bogotá,5,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 3,428000.0
Auriculares,Electrónicos,115800.0,6400.0,2022-03-15,Camila Rivera,Bogotá,5,Cupón,1,4.60971,-74.08175,Tienda 3,109400.0
Smart TV,Electrónicos,1165500.0,60300.0,2020-09-07,Camila Rivera,Medellín,5,Tarjeta de crédito,12,6.25184,-75.56359,Tienda 3,1105200.0
Armario,Muebles,479500.0,25700.0,2020-02-02,Maria Alfonso,Cartagena,1,Nequi,1,10.39972,-75.51444,Tienda 3,453800.0
Cama king,Muebles,907900.0,53000.0,2022-10-07,Ángel Rodriguez,Cali,1,Tarjeta de crédito,3,3.43722,-76.5225,Tienda 3,854900.0
Smartwatch,Electrónicos,180600.0,7800.0,2020-03-15,Rafael Acosta,Bogotá,3,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,172800.0
Pandereta,Instrumentos musicales,39900.0,2300.0,2020-02-04,Mariana Herrera,Pereira,5,Nequi,1,4.81333,-75.69611,Tienda 3,37600.0
Ciencia de datos con Python,Libros,47600.0,4900.0,2021-01-06,Juliana Costa,Bogotá,4,Nequi,1,4.60971,-74.08175,Tienda 3,42700.0
Mesa de centro,Muebles,162400.0,9300.0,2022-10-02,Felipe Santos,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,153100.0
Ajedrez de madera,Juguetes,35500.0,0.0,2022-02-08,Rafael Acosta,Cúcuta,5,Tarjeta de crédito,4,7.89391,-72.50782,Tienda 3,35500.0
Refrigerador,Electrodomésticos,2378400.0,126900.0,2021-11-06,Blanca Ramirez,Pereira,5,Cupón,1,4.81333,-75.69611,Tienda 3,2251500.0
Balón de baloncesto,Deportes y diversión,36100.0,2100.0,2022-04-20,Blanca Ramirez,Cali,5,Nequi,1,3.43722,-76.5225,Tienda 3,34000.0
Mesa de comedor,Muebles,172800.0,7400.0,2020-06-10,Blanca Ramirez,Medellín,5,Tarjeta de crédito,3,6.25184,-75.56359,Tienda 3,165400.0
Smartwatch,Electrónicos,218000.0,12000.0,2021-12-27,Izabela de León,Bogotá,1,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,206000.0
Ajedrez de madera,Juguetes,24500.0,0.0,2022-12-01,Santiago Silva,Medellín,5,Tarjeta de crédito,5,6.25184,-75.56359,Tienda 3,24500.0
Cuerda para saltar,Deportes y diversión,7900.0,0.0,2023-02-28,Rafael Acosta,Bogotá,2,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 3,7900.0
Estufa,Electrodomésticos,484500.0,26000.0,2021-11-28,Juliana Costa,Bogotá,4,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,458500.0
Lavadora de ropa,Electrodomésticos,1407800.0,75500.0,2022-05-12,Camila Rivera,Cartagena,5,Tarjeta de crédito,8,10.39972,-75.51444,Tienda 3,1332300.0
Cubertería,Artículos para el hogar,49400.0,2800.0,2022-03-05,Beatriz Morales,Bogotá,5,Tarjeta de crédito,4,4.60971,-74.08175,Tienda 3,46600.0
Auriculares con micrófono,Electrónicos,210100.0,9400.0,2021-06-26,Maria Alfonso,Cali,4,Tarjeta de crédito,2,3.43722,-76.5225,Tienda 3,200700.0
Cuerda para saltar,Deportes y diversión,17100.0,1100.0,2021-08-30,Camila Rivera,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 3,16000.0
Dashboards con Power BI,Libros,44200.0,0.0,2021-07-20,Ángel Rodriguez,Bogotá,5,Tarjeta de crédito,5,4.60971,-74.08175,Tienda 3,44200.0
Bicicleta,Deportes y diversión,237200.0,12800.0,2020-05-10,Izabela de León,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 3,224400.0
Cama king,Muebles,553000.0,27600.0,2022-03-24,Blanca Ramirez,Bogotá,5,Tarjeta de crédito,4,4.60971,-74.08175,Tienda 3,525400.0
Mesa de comedor,Muebles,353000.0,19200.0,2020-01-17,Ángel Rodriguez,Medellín,4,Nequi,1,6.25184,-75.56359,Tienda 3,333800.0
Mesa de comedor,Muebles,343200.0,18700.0,2020-02-11,Beatriz Morales,Cali,5,Tarjeta de crédito,9,3.43722,-76.5225,Tienda 3,324500.0
Mesa de comedor,Muebles,181300.0,7800.0,2023-01-16,Lucas Olivera,Medellín,5,Tarjeta de crédito,3,6.25184,-75.56359,Tienda 3,173500.0
Mesa de centro,Muebles,119500.0,6800.0,2020-03-14,Juan Fernandez,Cali,5,Tarjeta de crédito,10,3.43722,-76.5225,Tienda 3,112700.0
Ajedrez de madera,Juguetes,27200.0,2100.0,2021-08-05,Pedro Gomez,Bogotá,1,Tarjeta de crédito,6,4.60971,-74.08175,Tienda 3,25100.0
Juego de mesa,Juguetes,127500.0,5000.0,2021-05-16,Izabela de León,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 3,122500.0
Balón de voleibol,Deportes y diversión,59700.0,3800.0,2021-11-06,Santiago Silva,Cúcuta,1,Tarjeta de débito,1,7.89391,-72.50782,Tienda 3,55900.0
Estufa,Electrodomésticos,921000.0,47200.0,2022-06-21,Camila Rivera,Medellín,5,Cupón,1,6.25184,-75.56359,Tienda 3,873800.0
Batería,Instrumentos musicales,1078500.0,55600.0,2021-06-04,Ángel Rodriguez,Pasto,5,Tarjeta de crédito,8,1.21361,-77.28111,Tienda 3,1022900.0
Auriculares,Electrónicos,89900.0,5200.0,2020-01-17,Ángel Rodriguez,Bogotá,1,Tarjeta de débito,1,4.60971,-74.08175,Tienda 3,84700.0
Guitarra eléctrica,Instrumentos musicales,652700.0,32900.0,2021-10-10,Izabela de León,Pereira,5,Tarjeta de crédito,1,4.81333,-75.69611,Tienda 3,619800.0
Juego de mesa,Juguetes,237700.0,10800.0,2021-04-10,Felipe Santos,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,226900.0
Lavadora de ropa,Electrodomésticos,1234700.0,66100.0,2020-12-20,Beatriz Morales,Cúcuta,5,Tarjeta de crédito,12,7.89391,-72.50782,Tienda 3,1168600.0
Auriculares,Electrónicos,100000.0,5500.0,2021-02-06,Juan Fernandez,Cali,5,Tarjeta de crédito,10,3.43722,-76.5225,Tienda 3,94500.0
Guitarra acústica,Instrumentos musicales,229100.0,10400.0,2020-09-07,Ángel Rodriguez,Bogotá,3,Tarjeta de crédito,10,4.60971,-74.08175,Tienda 3,218700.0
Mesa de centro,Muebles,145100.0,7900.0,2022-02-11,Beatriz Morales,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 3,137200.0
Ciencia de datos con Python,Libros,45800.0,4800.0,2022-12-10,Felipe Santos,Riohacha,1,Nequi,1,11.54444,-72.90722,Tienda 3,41000.0
Sofá reclinable,Muebles,633600.0,38500.0,2022-07-11,Rafael Acosta,Bogotá,5,Nequi,1,4.60971,-74.08175,Tienda 3,595100.0
Muñeca bebé,Juguetes,57200.0,3300.0,2023-01-04,Ángel Rodriguez,Cali,5,Tarjeta de crédito,1,3.43722,-76.5225,Tienda 3,53900.0
Impresora,Electrónicos,263300.0,18800.0,2020-05-19,Lucas Olivera,Pereira,5,Tarjeta de crédito,10,4.81333,-75.69611,Tienda 3,244500.0
Estufa,Electrodomésticos,515500.0,27800.0,2022-12-04,Camila Rivera,Bogotá,5,Cupón,1,4.60971,-74.08175,Tienda 3,487700.0
Set de ollas,Artículos para el hogar,208500.0,15800.0,2022-06-22,Lucas Olivera,Villavicencio,3,Cupón,1,4.142,-73.62664,Tienda 3,192700.0
Iniciando en programación,Libros,66100.0,1700.0,2021-05-02,Rafael Acosta,Bogotá,1,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,64400.0
Carrito de control remoto,Juguetes,84000.0,6800.0,2022-11-22,Izabela de León,Bogotá,5,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 3,77200.0
Mesa de noche,Muebles,315900.0,17300.0,2023-01-09,Juan Fernandez,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,298600.0
Set de ollas,Artículos para el hogar,102800.0,7800.0,2023-02-25,Juliana Costa,Medellín,5,Tarjeta de crédito,2,6.25184,-75.56359,Tienda 3,95000.0
Sillón,Muebles,213000.0,11600.0,2022-07-29,Juan Fernandez,Medellín,5,Nequi,1,6.25184,-75.56359,Tienda 3,201400.0
Ciencia de datos con Python,Libros,43100.0,0.0,2022-12-10,Mariana Herrera,Medellín,1,Tarjeta de crédito,10,6.25184,-75.56359,Tienda 3,43100.0
Mesa de noche,Muebles,271000.0,12600.0,2022-05-27,Maria Alfonso,Bogotá,1,Tarjeta de crédito,3,4.60971,-74.08175,Tienda 3,258400.0
Mesa de noche,Muebles,284200.0,13300.0,2022-08-10,Camila Rivera,Cúcuta,5,Nequi,1,7.89391,-72.50782,Tienda 3,270900.0
Smartwatch,Electrónicos,207800.0,9300.0,2022-07-19,Pedro Gomez,Bogotá,4,Tarjeta de crédito,2,4.60971,-74.08175,Tienda 3,198500.0
Lavadora de ropa,Electrodomésticos,1296000.0,71400.0,2021-04-09,Juan Fernandez,Medellín,5,Tarjeta de crédito,6,6.25184,-75.56359,Tienda 3,1224600.0
Dashboards con Power BI,Libros,30600.0,0.0,2021-04-01,Mariana Herrera,Bogotá,5,Tarjeta de crédito,1,4.60971,-74.08175,Tienda 3,30600.0
Bicicleta,Deportes y diversión,497300.0,24700.0,2023-02-27,Mariana Herrera,Barranquilla,5,Tarjeta de crédito,1,10.96854,-74.78132,Tienda 3,472600.0
Cubertería,Artículos para el hogar,51300.0,900.0,2021-03-24,Beatriz Morales,Cali,5,Tarjeta de crédito,6,3.43722,-76.5225,Tienda 3,50400.0
Cama king,Muebles,940900.0,52500.0,2021-06-02,Ángel Rodriguez,Bogotá,5,Cupón,1,4.60971,-74.08175,Tienda 3,888400.0
Mesa de noche,Muebles,240800.0,11000.0,2021-12-09,Juan Fernandez,Santa Marta,4,Tarjeta de crédito,3,11.24079,-74.19904,Tienda 3,229800.0
Set de ollas,Artículos para el hogar,178300.0,9700.0,2022-07-17,Juliana Costa,Medellín,4,Tarjeta de crédito,3,6.25184,-75.56359,Tienda 3,168600.0
TV LED UHD 4K,Electrónicos,1754600.0,91600.0,2020-04-04,Felipe Santos,Cúcuta,5,Cupón,1,7.89391,-72.50782,Tienda 3,1663000.0
